university,province,year,track,batch,cutoff
tsinghua,上海,2014,arts,first,529
tsinghua,上海,2014,science,first,533
tsinghua,云南,2014,arts,first,684
tsinghua,云南,2014,science,first,693
tsinghua,内蒙古,2014,arts,first,660
tsinghua,内蒙古,2014,science,first,677
tsinghua,北京,2014,arts,first,670
tsinghua,北京,2014,science,first,682
tsinghua,吉林,2014,arts,first,662
tsinghua,吉林,2014,science,first,697
tsinghua,四川,2014,arts,first,639
tsinghua,四川,2014,science,first,660
tsinghua,天津,2014,arts,first,653
tsinghua,天津,2014,science,first,686
tsinghua,宁夏,2014,arts,first,641
tsinghua,宁夏,2014,science,first,662
tsinghua,安徽,2014,arts,first,621
tsinghua,安徽,2014,science,first,646
tsinghua,山东,2014,arts,first,680
tsinghua,山东,2014,science,first,701
tsinghua,山西,2014,arts,first,612
tsinghua,山西,2014,science,first,669
tsinghua,广东,2014,arts,first,671
tsinghua,广东,2014,science,first,676
tsinghua,广西,2014,arts,first,661
tsinghua,广西,2014,science,first,680
tsinghua,新疆,2014,arts,first,635
tsinghua,新疆,2014,science,first,663
tsinghua,江苏,2014,arts,first,399
tsinghua,江苏,2014,science,first,404
tsinghua,江西,2014,arts,first,630
tsinghua,江西,2014,science,first,674
tsinghua,河北,2014,arts,first,663
tsinghua,河北,2014,science,first,702
tsinghua,河南,2014,arts,first,634
tsinghua,河南,2014,science,first,685
tsinghua,浙江,2014,arts,first,720
tsinghua,浙江,2014,science,first,734
tsinghua,海南,2014,arts,first,883
tsinghua,海南,2014,science,first,861
tsinghua,湖北,2014,arts,first,633
tsinghua,湖北,2014,science,first,675
tsinghua,湖南,2014,arts,first,673
tsinghua,湖南,2014,science,first,680
tsinghua,甘肃,2014,arts,first,631
tsinghua,甘肃,2014,science,first,660
tsinghua,福建,2014,arts,first,665
tsinghua,福建,2014,science,first,674
tsinghua,贵州,2014,arts,first,681
tsinghua,贵州,2014,science,first,677
tsinghua,辽宁,2014,arts,first,654
tsinghua,辽宁,2014,science,first,683
tsinghua,重庆,2014,arts,first,672
tsinghua,重庆,2014,science,first,670
tsinghua,陕西,2014,arts,first,674
tsinghua,陕西,2014,science,first,692
tsinghua,青海,2014,arts,first,637
tsinghua,青海,2014,science,first,649
tsinghua,黑龙江,2014,arts,first,664
tsinghua,黑龙江,2014,science,first,690
tsinghua,上海,2015,arts,first,517
tsinghua,上海,2015,science,first,528
tsinghua,云南,2015,arts,first,686
tsinghua,云南,2015,science,first,695
tsinghua,内蒙古,2015,arts,first,635
tsinghua,内蒙古,2015,science,first,674
tsinghua,北京,2015,arts,first,677
tsinghua,北京,2015,science,first,694
tsinghua,吉林,2015,arts,first,657
tsinghua,吉林,2015,science,first,690
tsinghua,四川,2015,arts,first,640
tsinghua,四川,2015,science,first,664
tsinghua,天津,2015,arts,first,664
tsinghua,天津,2015,science,first,686
tsinghua,宁夏,2015,arts,first,648
tsinghua,宁夏,2015,science,first,650
tsinghua,安徽,2015,arts,first,675
tsinghua,安徽,2015,science,first,689
tsinghua,山东,2015,arts,first,671
tsinghua,山东,2015,science,first,698
tsinghua,山西,2015,arts,first,609
tsinghua,山西,2015,science,first,662
tsinghua,广东,2015,arts,first,668
tsinghua,广东,2015,science,first,687
tsinghua,广西,2015,arts,first,658
tsinghua,广西,2015,science,first,669
tsinghua,新疆,2015,arts,first,645
tsinghua,新疆,2015,science,first,663
tsinghua,江苏,2015,arts,first,403
tsinghua,江苏,2015,science,first,407
tsinghua,江西,2015,arts,first,622
tsinghua,江西,2015,science,first,685
tsinghua,河北,2015,arts,first,664
tsinghua,河北,2015,science,first,702
tsinghua,河南,2015,arts,first,628
tsinghua,河南,2015,science,first,680
tsinghua,浙江,2015,arts,first,722
tsinghua,浙江,2015,science,first,737
tsinghua,海南,2015,arts,first,876
tsinghua,海南,2015,science,first,877
tsinghua,湖北,2015,arts,first,619
tsinghua,湖北,2015,science,first,679
tsinghua,湖南,2015,arts,first,644
