province,year,track,institution,score,rank,source
上海,2015,arts,复旦大学,492,,上海_2015_arts_sina
上海,2015,arts,上海交通大学,492,,上海_2015_arts_sina
上海,2015,arts,同济大学,468,,上海_2015_arts_sina
上海,2015,arts,华东师范大学,471,,上海_2015_arts_sina
上海,2015,arts,华东理工大学,455,,上海_2015_arts_sina
上海,2015,arts,东华大学,452,,上海_2015_arts_sina
上海,2015,arts,上海财经大学,477,,上海_2015_arts_sina
上海,2015,arts,上海外国语大学,474,,上海_2015_arts_sina
上海,2015,arts,上海海事大学,434,,上海_2015_arts_sina
上海,2015,arts,上海理工大学,439,,上海_2015_arts_sina
上海,2015,arts,华东政法大学,451,,上海_2015_arts_sina
上海,2015,arts,上海对外经贸大学,459,,上海_2015_arts_sina
上海,2015,arts,上海海洋大学,434,,上海_2015_arts_sina
上海,2015,arts,上海戏剧学院,434,,上海_2015_arts_sina
上海,2015,arts,上海音乐学院,439,,上海_2015_arts_sina
上海,2015,arts,上海大学,447,,上海_2015_arts_sina
上海,2015,arts,上海中医药大学,453,,上海_2015_arts_sina
上海,2015,arts,上海师范大学,441,,上海_2015_arts_sina
上海,2015,arts,中国人民大学,488,,上海_2015_arts_sina
上海,2015,arts,北京理工大学,452,,上海_2015_arts_sina
上海,2015,arts,*北京林业大学,427,,上海_2015_arts_sina
上海,2015,arts,中国政法大学,456,,上海_2015_arts_sina
上海,2015,arts,华北电力大学(北京),438,,上海_2015_arts_sina
上海,2015,arts,中央财经大学,464,,上海_2015_arts_sina
上海,2015,arts,对外经济贸易大学,459,,上海_2015_arts_sina
上海,2015,arts,西南财经大学,451,,上海_2015_arts_sina
上海,2015,arts,中国传媒大学,464,,上海_2015_arts_sina
上海,2015,arts,北京外国语大学,476,,上海_2015_arts_sina
上海,2015,arts,南开大学,462,,上海_2015_arts_sina
上海,2015,arts,宁波诺丁汉大学,444,,上海_2015_arts_sina
上海,2015,arts,*辽宁工程技术大学,415,,上海_2015_arts_sina
上海,2015,arts,南京大学,479,,上海_2015_arts_sina
上海,2015,arts,南京航空航天大学,440,,上海_2015_arts_sina
上海,2015,arts,河海大学,438,,上海_2015_arts_sina
上海,2015,arts,*南京农业大学,432,,上海_2015_arts_sina
上海,2015,arts,江苏大学,435,,上海_2015_arts_sina
上海,2015,arts,苏州大学,446,,上海_2015_arts_sina
上海,2015,arts,浙江大学,486,,上海_2015_arts_sina
上海,2015,arts,山东大学,447,,上海_2015_arts_sina
上海,2015,arts,*郑州大学,429,,上海_2015_arts_sina
上海,2015,arts,武汉理工大学,434,,上海_2015_arts_sina
上海,2015,arts,武汉大学,465,,上海_2015_arts_sina
上海,2015,arts,湖南大学,448,,上海_2015_arts_sina
上海,2015,arts,西南交通大学,437,,上海_2015_arts_sina
上海,2015,arts,西南政法大学,438,,上海_2015_arts_sina
上海,2015,arts,*西南大学,414,,上海_2015_arts_sina
上海,2015,arts,中山大学,465,,上海_2015_arts_sina
上海,2015,arts,暨南大学,446,,上海_2015_arts_sina
上海,2015,arts,东北大学,437,,上海_2015_arts_sina
上海,2015,arts,西北大学,435,,上海_2015_arts_sina
上海,2015,arts,兰州大学,441,,上海_2015_arts_sina
上海,2015,arts,中国海洋大学,436,,上海_2015_arts_sina
上海,2015,arts,江南大学,435,,上海_2015_arts_sina
上海,2015,arts,中央民族大学,449,,上海_2015_arts_sina
上海,2015,arts,吉林大学,437,,上海_2015_arts_sina
上海,2015,arts,厦门大学,465,,上海_2015_arts_sina
上海,2015,arts,四川大学,445,,上海_2015_arts_sina
上海,2015,arts,陕西师范大学,436,,上海_2015_arts_sina
上海,2015,arts,西交利物浦大学,435,,上海_2015_arts_sina
上海,2015,arts,山东大学威海分校,436,,上海_2015_arts_sina
上海,2015,arts,南京师范大学,438,,上海_2015_arts_sina
上海,2015,arts,中南财经政法大学,455,,上海_2015_arts_sina
上海,2015,arts,*华中师范大学,432,,上海_2015_arts_sina
上海,2015,arts,*南昌大学,429,,上海_2015_arts_sina
上海,2015,arts,北京第二外国语学院,455,,上海_2015_arts_sina
上海,2015,arts,安徽大学,434,,上海_2015_arts_sina
上海,2015,arts,东北财经大学,441,,上海_2015_arts_sina
上海,2015,arts,*北京师范大学-香港浸会大学联合国际学院,427,,上海_2015_arts_sina
上海,2015,arts,*东北大学秦皇岛分校,424,,上海_2015_arts_sina
上海,2015,arts,*湖南师范大学,422,,上海_2015_arts_sina
上海,2015,arts,湘潭大学,437,,上海_2015_arts_sina
上海,2015,arts,天津财经大学,436,,上海_2015_arts_sina
上海,2015,arts,*长沙理工大学,417,,上海_2015_arts_sina
上海,2015,arts,中国人民大学(苏州校区),470,,上海_2015_arts_sina
上海,2015,arts,*湖南农业大学,417,,上海_2015_arts_sina
上海,2015,science,复旦大学,500,,上海_2015_science_sina
上海,2015,science,上海交通大学,505,,上海_2015_science_sina
上海,2015,science,同济大学,484,,上海_2015_science_sina
上海,2015,science,华东师范大学,470,,上海_2015_science_sina
上海,2015,science,华东理工大学,456,,上海_2015_science_sina
上海,2015,science,东华大学,444,,上海_2015_science_sina
上海,2015,science,上海财经大学,477,,上海_2015_science_sina
上海,2015,science,上海外国语大学,463,,上海_2015_science_sina
上海,2015,science,上海海事大学,414,,上海_2015_science_sina
上海,2015,science,上海理工大学,430,,上海_2015_science_sina
