spread            bid n    equal   better   VIOLATE |    off n    equal   better   VIOLATE
GCQ3-GCZ3          1674     1674        0         0 |     1674     1674        0         0
MHGU3-MHGZ3        1620     1620        0         0 |     1620     1620        0         0
HGU3-HGZ3          1485     1485        0         0 |     1485     1485        0         0
HGU3-HGK4           558      558        0         0 |      558      558        0         0
HGU3-HGH4           451      451        0         0 |      451      451        0         0
HGZ3-HGK4           331      331        0         0 |      331      331        0         0
HGU3-HGN4           172      172        0         0 |      172      172        0         0
HGZ3-HGH4           149      149        0         0 |      149      149        0         0
HGZ3-HGN4           127      127        0         0 |      127      127        0         0
QIU3-QIK4           120      120        0         0 |      120      120        0         0
HGH4-HGK4            35       35        0         0 |       35       35        0         0
HGK4-HGN4            10       10        0         0 |       10       10        0         0
TOTAL              6732     6732        0         0 |     6732     6732        0         0

load-bearing criterion, section 4.A.2: 0 violations in 13464 states
verdict: PASS, zero violations
reported only, not a criterion: equality rate bid 1.0000, offer 1.0000

independent side, design file section 7. lambda_offer = ask(spread, directly quoted) - [ask(near) - bid(far)], lambda_bid = bid(spread) - [bid(near) - ask(far)], in ticks
spread            states  non-zero     share   distribution
  -- offer side --
  GCQ3-GCZ3           1674      1635   0.9767   -7:7 -6:87 -5:273 -4:552 -3:490 -2:186 -1:40 +0:39
  HGU3-HGZ3           1386      1239   0.8939   -10:427 -5:812 +0:147
  HGU3-HGH4            451       412   0.9135   -20:7 -15:20 -10:120 -5:265 +0:39
  HGU3-HGN4            172       171   0.9942   -80:1 -75:30 -70:46 -65:24 -60:28 -55:39 -50:3 +0:1
  MHGU3-MHGZ3          159       159   1.0000   -15:101 -10:58
  HGZ3-HGN4            127       127   1.0000   -80:2 -75:29 -70:35 -65:27 -60:30 -55:4
  QIU3-QIK4            117       117   1.0000   -250:52 -125:65
  HGU3-HGK4             84        84   1.0000   -55:1 -50:37 -45:38 -40:8
  HGZ3-HGH4             78        78   1.0000   -15:8 -10:51 -5:19
  HGZ3-HGK4             73        73   1.0000   -55:3 -50:33 -45:31 -40:6
  HGK4-HGN4             10        10   1.0000   -135:9 -80:1
  TOTAL               4331      4105   0.9478   -250:52 -135:9 -125:65 -80:4 -75:59 -70:81 -65:51 -60:58 -55:47 -50:73 -45:69 -40:14 -20:7 -15:129 -10:656 -7:7 -6:87 -5:1369 -4:552 -3:490 -2:186 -1:40 +0:226
  -- bid side --
  GCQ3-GCZ3           1634      1550   0.9486   +0:84 +1:280 +2:242 +3:472 +4:326 +5:153 +6:70 +7:7
  HGU3-HGH4            451       411   0.9113   +0:40 +5:335 +10:68 +100:2 +105:6
  MHGU3-MHGZ3          278       278   1.0000   +10:1 +15:181 +20:96
  HGZ3-HGK4            273       273   1.0000   +50:10 +55:59 +60:45 +65:29 +70:41 +75:49 +80:35 +85:5
  HGU3-HGZ3            252       252   1.0000   +5:147 +10:105
  QIU3-QIK4            120       120   1.0000   +125:62 +250:58
  HGU3-HGK4             86        86   1.0000   +50:28 +55:39 +60:18 +65:1
  HGU3-HGN4             79        79   1.0000   +45:6 +50:15 +55:12 +60:16 +65:24 +70:6
  HGZ3-HGN4             21        20   0.9524   +0:1 +5:8 +10:11 +15:1
  HGK4-HGN4              8         8   1.0000   +100:5 +115:3
  TOTAL               3202      3077   0.9610   +0:125 +1:280 +2:242 +3:472 +4:326 +5:643 +6:70 +7:7 +10:185 +15:182 +20:96 +45:6 +50:53 +55:110 +60:79 +65:54 +70:47 +75:49 +80:35 +85:5 +100:7 +105:6 +115:3 +125:62 +250:58
