spread            bid n    equal   better   VIOLATE |    off n    equal   better   VIOLATE
NGQ3-NGK4           386      386        0         0 |      386      386        0         0
NGV3-NGK4           282      282        0         0 |      282      282        0         0
NGU3-NGK4           280      280        0         0 |      280      280        0         0
NGQ3-NGH4           273      273        0         0 |      273      273        0         0
TTFQ3-TTFU3         249      249        0         0 |      249      249        0         0
NGQ3-NGF4           166      166        0         0 |      166      166        0         0
NGU3-NGF4           163      163        0         0 |      163      163        0         0
NGV3-NGF4           141      141        0         0 |      141      141        0         0
NGX3-NGF4           135      135        0         0 |      135      135        0         0
NGU3-NGJ4           129      129        0         0 |      129      129        0         0
NGH4-NGQ4           123      123        0         0 |      123      123        0         0
NGQ3-NGJ4           123      123        0         0 |      123      123        0         0
NGU3-NGZ3            78       78        0         0 |       78       78        0         0
NGQ3-NGZ3            76       76        0         0 |       76       76        0         0
NGZ3-NGK4            64       64        0         0 |       64       64        0         0
TOTAL              2668     2668        0         0 |     2668     2668        0         0

load-bearing criterion, section 4.A.2: 0 violations in 5336 states
verdict: PASS, zero violations
reported only, not a criterion: equality rate bid 1.0000, offer 1.0000

independent side, design file section 7. lambda_offer = ask(spread, directly quoted) - [ask(near) - bid(far)], lambda_bid = bid(spread) - [bid(near) - ask(far)], in ticks
spread            states  non-zero     share   distribution
  -- offer side --
  NGQ3-NGK4            386       204   0.5285   -2:18 -1:184 +0:182 +1:2
  NGV3-NGK4            282       105   0.3723   -2:8 -1:73 +0:177 +1:24
  NGU3-NGK4            280        87   0.3107   -2:5 -1:37 +0:193 +1:45
  NGQ3-NGH4            272       255   0.9375   -11:2 -3:1 -2:118 -1:134 +0:17
  TTFQ3-TTFU3          222       222   1.0000   -115:1 -110:3 -105:3 -100:26 -95:25 -90:13 -85:5 -80:7 -75:26
  NGQ3-NGF4            166       143   0.8614   -3:2 -2:46 -1:95 +0:23
  NGX3-NGF4            135        99   0.7333   -3:5 -2:33 -1:61 +0:36
  NGU3-NGJ4            129       129   1.0000   -5:28 -4:33 -3:13 -2:39 -1:16
  NGU3-NGF4            124       124   1.0000   -3:4 -2:53 -1:67
  NGQ3-NGJ4            123       122   0.9919   -6:4 -5:11 -4:26 -3:31 -2:37 -1:13 +0:1
  NGV3-NGF4            118       117   0.9915   -3:2 -2:46 -1:69 +0:1
  NGH4-NGQ4            115       115   1.0000   -7:4 -6:4 -5:9 -4:1 +1:6 +2:24 +3:50 +4:17
  NGU3-NGZ3             78        76   0.9744   -6:4 -4:2 -3:10 -2:35 -1:25 +0:2
  NGQ3-NGZ3             76        74   0.9737   -6:1 -4:5 -3:7 -2:32 -1:29 +0:2
  TOTAL               2506      1872   0.7470   -115:1 -110:3 -105:3 -100:26 -95:25 -90:13 -85:5 -80:7 -75:26 -70:32 -65:19 -60:12 -55:9 -50:2 -40:17 -35:15 -30:5 -25:2 -11:2 -7:4 -6:13 -5:48 -4:67 -3:75 -2:470 -1:803 +0:634 +1:77 +2:24 +3:50 +4:17
  -- bid side --
  NGQ3-NGK4            385       158   0.4104   -1:47 +0:227 +1:111
  NGV3-NGK4            282       199   0.7057   -1:6 +0:83 +1:176 +2:17
  NGU3-NGK4            278       147   0.5288   -1:22 +0:131 +1:114 +2:11
  NGQ3-NGH4            272       141   0.5184   +0:131 +1:115 +2:2 +8:4 +9:1 +10:14 +11:5
  NGQ3-NGF4            166       119   0.7169   -1:16 +0:47 +1:70 +2:33
  NGU3-NGF4            161       132   0.8199   -1:18 +0:29 +1:75 +2:36 +3:3
  TTFQ3-TTFU3          152       152   1.0000   +40:1 +45:2 +50:4 +55:12 +60:5 +65:9 +70:14 +75:24 +80:28
  NGU3-NGJ4            129        42   0.3256   -1:23 +0:87 +1:17 +4:2
  NGQ3-NGJ4            113        66   0.5841   -2:7 -1:55 +0:47 +1:2 +4:2
  NGX3-NGF4            111        93   0.8378   -1:1 +0:18 +1:32 +2:38 +3:22
  NGH4-NGQ4            106        88   0.8302   -3:2 -2:32 -1:50 +0:18 +4:1 +9:3
  NGV3-NGF4            101        94   0.9307   +0:7 +1:28 +2:56 +3:10
  NGU3-NGZ3             78        63   0.8077   +0:15 +1:35 +2:21 +6:1 +7:1 +8:5
  NGQ3-NGZ3             76        61   0.8026   +0:15 +1:45 +2:10 +6:1 +8:5
  NGZ3-NGK4             64        57   0.8906   -5:4 -2:11 -1:37 +0:7 +1:2 +2:1 +4:2
  TOTAL               2474      1612   0.6516   -5:4 -3:2 -2:50 -1:275 +0:862 +1:822 +2:225 +3:35 +4:7 +6:2 +7:1 +8:14 +9:4 +10:14 +11:5 +40:1 +45:2 +50:4 +55:12 +60:5 +65:9 +70:14 +75:24 +80:28 +85:11 +90:3 +95:13 +100:15 +105:11
