B13 path multiplicity, read from the instrument listing and no price at all.
A listed calendar spread (A, B) has a second route whenever some listed C
gives both (A, C) and (B, C), because (A,B) = (A,C) - (B,C).

== ch382 NYMEX energy ==  46519 symbols, 22876 calendar spreads
   root     listed    multi   unique   example second route
   CL          906      906        0   CLF4-CLF5 via CLF6   <- B13 measured on this root
   RB          861      861        0   RBF4-RBF5 via RBF6   <- B13 measured on this root
   38          300      300        0   38F4-38F5 via 38G4
   7D           85       80        5   7DF4-7DG4 via 7DH4
   7F          648      642        6   7FF4-7FF5 via 7FF6
   A0D          85       80        5   A0DF4-A0DG4 via A0DH4
   A0F          85       80        5   A0FF4-A0FG4 via A0FH4
   AA6         171      171        0   AA6F4-AA6F5 via AA6G4
   ABY         253      253        0   ABYF4-ABYF5 via ABYG4
   AE5         276      276        0   AE5F4-AE5F5 via AE5G4
   AEZ         171      171        0   AEZF4-AEZF5 via AEZG4
   AFF         300      300        0   AFFF4-AFFF5 via AFFG4
   AFH         276      276        0   AFHF4-AFHF5 via AFHG4
   AFK          83       80        3   AFKF4-AFKG4 via AFKH4
   AHL         171      171        0   AHLF4-AHLF5 via AHLG4
   ARE         171      171        0   AREF4-AREF5 via AREG4
   AUI          84       80        4   AUIF4-AUIG4 via AUIH4
   AWJ         300      300        0   AWJF4-AWJF5 via AWJG4
   AYV         276      276        0   AYVF4-AYVF5 via AYVG4
   AYX         300      300        0   AYXF4-AYXF5 via AYXG4
   B7H         171      171        0   B7HF4-B7HF5 via B7HG4
   BB          253      253        0   BBF4-BBF5 via BBG4
   BK          300      300        0   BKF4-BKF5 via BKG4
   BOO          80       78        2   BOOF4-BOOG4 via BOOH4
   BZ         4095     4095        0   BZF0-BZF1 via BZF4
   BZL           3        3        0   BZLU3-BZLV3 via BZLX3
   BZS           3        3        0   BZSU3-BZSV3 via BZSX3
   BZT          78       78        0   BZTF4-BZTG4 via BZTH4
   CLL           5        5        0   CLLQ3-CLLU3 via CLLV3
   CLS           5        5        0   CLSQ3-CLSU3 via CLSV3
   CLT          22       20        2   CLTF4-CLTG4 via CLTU3
   CSX         300      300        0   CSXF4-CSXF5 via CSXG4
   CU          630      630        0   CUF4-CUF5 via CUF6
   CY          300      300        0   CYF4-CYF5 via CYG4
   EN          171      171        0   ENF4-ENF5 via ENG4
   EVC          85       80        5   EVCF4-EVCG4 via EVCH4
   FO           80       78        2   FOF4-FOG4 via FOH4
   FSS          85       80        5   FSSF4-FSSG4 via FSSH4
   GCI          80       78        2   GCIF4-GCIG4 via GCIH4
   GCU          80       78        2   GCUF4-GCUG4 via GCUH4
   GZ          171      171        0   GZF4-GZF5 via GZG4
   HIL         300      300        0   HILF4-HILF5 via HILG4
   HO          861      861        0   HOF4-HOF5 via HOF6
   HOB         861      861        0   HOBF4-HOBF5 via HOBF6
   HOL           3        3        0   HOLQ3-HOLU3 via HOLV3
   HOT          20       20        0   HOTF4-HOTG4 via HOTU3
   HTT         276      276        0   HTTF4-HTTF5 via HTTG4
   JCC         276      276        0   JCCF4-JCCF5 via JCCG4
   LPS          66       66        0   LPSF4-LPSG4 via LPSH4
   LT          666      666        0   LTF4-LTF5 via LTF6
   MB          276      276        0   MBF4-MBF5 via MBG4
   MCL          66       66        0   MCLF4-MCLG4 via MCLH4
   ME          666      666        0   MEF4-MEF5 via MEF6
   MEO         171      171        0   MEOF4-MEOF5 via MEOG4
   MFB          80       78        2   MFBF4-MFBG4 via MFBH4
   MFR          85       80        5   MFRF4-MFRG4 via MFRH4
   MGH          80       78        2   MGHF4-MGHG4 via MGHH4
   MHO          77       77        0   MHOF4-MHOG4 via MHOH4
   MM          300      300        0   MMF4-MMF5 via MMG4
   MPX         171      171        0   MPXF4-MPXF5 via MPXG4
