year,sheet,kind,agegroup,stat,value,workbook
2014,All,cv,18-21,10,0.7,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,18-21,20,0.2,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,18-21,25,0.1,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,18-21,30,0.1,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,18-21,40,0.3,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,18-21,60,0.4,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,18-21,70,0.6,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,18-21,75,0.5,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,18-21,80,0.7,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,18-21,90,1.2,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,18-21,Mean,0.5,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,18-21,Median,0.3,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,18-21,N,0.4,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,22-29,10,0.1,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,22-29,20,0.2,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,22-29,25,0.2,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,22-29,30,0.3,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,22-29,40,0.4,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,22-29,60,0.5,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,22-29,70,0.5,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,22-29,75,0.6,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,22-29,80,0.8,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,22-29,90,1.4,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,22-29,Mean,0.5,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,22-29,Median,0.5,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,22-29,N,0.5,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,30-39,10,0.3,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,30-39,20,0.4,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,30-39,25,0.3,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,30-39,30,0.4,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,30-39,40,0.5,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,30-39,60,0.5,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,30-39,70,0.5,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,30-39,75,0.6,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,30-39,80,0.7,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,30-39,90,1.5,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,30-39,Mean,0.3,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,30-39,Median,0.5,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,30-39,N,0.4,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,40-49,10,0.3,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,40-49,20,0.3,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,40-49,25,0.3,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,40-49,30,0.4,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,40-49,40,0.3,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,40-49,60,0.6,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,40-49,70,0.6,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,40-49,75,0.6,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,40-49,80,0.8,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,40-49,90,1.3,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,40-49,Mean,0.4,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,40-49,Median,0.5,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,40-49,N,0.4,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,50-59,10,0.2,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,50-59,20,0.3,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,50-59,25,0.3,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,50-59,30,0.3,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,50-59,40,0.3,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,50-59,60,0.5,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,50-59,70,0.4,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,50-59,75,0.5,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,50-59,80,0.7,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,50-59,90,1.2,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,50-59,Mean,0.4,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,50-59,Median,0.4,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,50-59,N,0.3,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,60+,10,0.3,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,60+,20,0.3,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,60+,25,0.4,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,60+,30,0.5,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,60+,40,0.6,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,60+,60,0.9,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,60+,70,1.3,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,60+,75,1.5,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,60+,80,1.8,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,60+,90,3.1,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,60+,Mean,0.8,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
